44.63144659996033   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 00 00
44.71616291999817   : ->unknown : 70 02 02 | 20 06
44.85227727890015   : ->Dash    : 10 04 0f | 02 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
44.873987436294556  : <-Dash    : 10 84 01 | 01
44.97124910354614   : ->FOC     : 20 02 02 | 05 08
44.992788314819336  : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 00 00
45.08009123802185   : ->BMS     : 31 02 02 | 2d 0f
45.112391233444214  : <-BMS     : 31 82 0f | 02 15 00 00 00 00 64 00 00 00 1e 1d 1e 1d 1d
45.209096908569336  : ->Dash    : 10 04 0f | 02 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
45.25200057029724   : <-Dash    : 10 84 01 | 01
45.3310170173645    : ->FOC     : 20 02 02 | 05 08
45.3525173664093    : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
45.448936223983765  : ->unknown : 70 02 02 | 20 06
45.58672070503235   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
45.60806179046631   : <-Dash    : 10 84 01 | 01
45.70532822608948   : ->FOC     : 20 02 02 | 05 08
45.73227643966675   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
45.81269550323486   : ->BMS     : 31 02 02 | 3c 28
45.85080099105835   : <-BMS     : 31 82 28 | 10 09 10 0c 10 09 10 0d 10 0c 10 07 10 11 10 0f 10 0f 0f f8 10 0d 10 11 10 11 00 00 00 00 00 00 00 00 00 00 00 00 00 00
45.94606256484985   : ->Dash    : 10 04 0f | 06 20 02 00 2a 53 00 00 00 00 64 00 cc cc 00
45.978267431259155  : <-Dash    : 10 84 01 | 01
46.069467067718506  : ->FOC     : 20 02 02 | 05 08
46.09112334251404   : <-FOC     : 20 82 0c | 30 26 3c 02 00 19 00 00 00 00 08 00
46.17547583580017   : ->BMS     : 31 02 02 | 02 2b
